red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
5.14,4.3,4.25,1.5,7.0,S_Micrite_08.jpg,4.05,4.8
5.81,5.3,2.55,4.1,5.2,S_Micrite_09.jpg,2.45,3.4
5.53,5.9,1.95,1.6,6.0,S_Micrite_10.jpg,2.1,2.4
4.79,5.1,2.4,1.6,7.05,S_Micrite_11.jpg,2.85,4.05
4.81,4.7,4.0,1.5,7.15,S_Micrite_12.jpg,3.45,5.0
4.58,4.65,4.85,1.9,8.35,S_Rock Gypsum_01.jpg,4.55,5.5
5.09,5.1,5.65,0.4,8.55,S_Rock Gypsum_02.jpg,2.3,2.85
5.56,6.35,6.65,1.8,8.5,S_Rock Gypsum_03.jpg,3.0,3.4
4.84,2.1,4.4,0.8,7.65,S_Rock Gypsum_04.jpg,6.15,7.55
5.09,4.5,3.25,0.5,4.35,S_Rock Gypsum_05.jpg,4.75,6.45
5.07,5.5,5.4,0.3,8.1,S_Rock Gypsum_06.jpg,2.45,2.55
4.98,5.65,4.15,0.1,8.35,S_Rock Gypsum_07.jpg,3.4,4.4
5.02,4.1,6.15,0.6,6.55,S_Rock Gypsum_08.jpg,3.3,4.4
5.12,5.2,7.25,0.4,7.8,S_Rock Gypsum_09.jpg,3.15,4.75
4.6,4.5,6.35,1.6,8.25,S_Rock Gypsum_10.jpg,3.05,4.8
